Id,Hazard
6,2.4539565755327337
7,5.144352007426548
8,5.836934491810153
9,3.4081389988605038
10,2.868464179690942
11,3.778965069940911
13,4.141703589042183
14,2.1716977070063996
16,3.00490858174519
17,2.6264194855931677
18,4.1888194440759685
20,3.6426152342040616
27,5.700410172300562
28,3.6319922621465444
29,2.4736211584475196
30,2.770138380030906
34,3.094054344530323
35,3.7029424571260594
36,3.3985873065652865
37,3.1861967560172584
38,3.0281030726683134
40,3.368762044310129
42,3.8149488619657674
46,3.4762178898442233
47,3.536163593315671
48,4.063985478993104
49,5.641151391267836
51,4.080020973658175
52,4.192343305424694
53,1.809478552526023
54,2.5847010728082824
55,1.7645958976945821
56,5.237468578767916
57,2.4638440933717933
60,4.2932425244580275
61,2.144993334790447
64,4.5069753386939295
65,4.056564961069284
66,4.417445553031272
68,4.903267822763988
70,2.983174179172871
71,2.23507589225406
75,2.2832128646843963
76,2.9291911340543644
78,5.393538112939053
80,2.9258585190839135
81,4.678993439828864
82,3.926699763125515
83,3.836984028554881
85,2.175999143821341
86,2.2729207453020384
87,3.185350361986906
89,3.2717404688999827
90,3.6183779252021813
91,3.8675498348426403
92,3.655831653090228
95,2.8680245459784346
97,4.633899569703345
99,3.146187270959247
101,3.7607193387400075
102,3.864724879580455
103,2.9811164543920623
104,3.7573669495069786
107,3.5652653062440605
108,3.1179937951132293
111,2.4913302488829903
112,5.338536634787714
115,4.429250115733094
119,2.7761460034796386
121,3.491521961714339
124,3.2470135040014734
128,4.066121773202801
130,4.686510966764446
131,4.788522293057256
133,4.847162858926408
134,4.0583076670960505
137,3.4471074795929786
138,3.8214437752225887
142,5.052601217261755
143,4.196039739266805
144,5.914885400644052
145,3.9757534960912193
147,2.998900445443775
148,5.209563961547821
152,2.26975680283934
154,9.455397889931763
158,2.7540339323650374
159,3.2874896055353995
160,4.617206374218314
161,4.175122905395371
164,1.9173481009866442
165,2.770205193781048
166,2.2982786215208932
167,2.8092941648388354
169,3.4453252961118537
170,4.359013002200568
171,4.507464332847898
175,2.6307578466447112
177,3.635326406652541
178,4.578924232772178
180,6.739817434078582
182,3.24807267250621
184,4.623212194621694
185,5.044285566916465
186,2.992852557715756
190,3.640127022387329
191,3.2793245364428625
192,2.2170099741450557
195,5.165400853696688
196,4.835577804987739
197,3.196906783004336
198,3.1079740479243734
199,6.3947430541947625
200,3.171198672642217
204,2.6127198220116488
205,3.8768778893574405
207,1.9187201134277487
208,2.7858838497140175
209,5.689801737758783
211,5.3866019819748425
216,4.792718299695986
217,2.043965899712953
220,3.554618773821447
223,4.969369880214602
224,4.64616660846872
230,2.803974135263899
232,3.2774888431240754
235,3.237382523520226
236,4.82196717796322
238,2.8851310410470394
240,2.4593930546530016
242,3.5361535124154755
244,3.1637450257306434
245,3.1917317959452594
248,3.348663732336268
251,3.4114413481981773
256,3.264658803861557
258,5.096826255234682
259,4.227626582930266
261,4.553016241638044
267,3.877569205365911
268,3.061445368451004
270,4.097716596501263
272,6.433629912853989
273,2.422656069865376
275,2.022427900569598
276,2.612042747191845
277,3.822071445902164
279,3.2927781864270798
283,3.3898684570791784
284,3.633034648093817
286,2.752838222781128
287,3.8997090323313603
288,2.020536078850185
289,5.214563065414107
292,3.354355534809825
293,4.132704824324384
295,4.5789524588164445
297,3.4912460111210804
301,4.34808785871289
303,2.9182699013610933
304,2.798701674270485
305,2.1740089303684518
308,3.532854915316108
309,3.467391013969759
313,3.237279244399092
314,4.457999819737252
315,3.146433513355383
316,2.8889509169522922
318,4.212767145589979
320,4.409413988514085
324,3.7442693879275044
325,3.6229983271043817
326,2.564788742482049
327,3.298116702117573
328,5.506315776235372
332,3.573275022060788
333,5.049713559357622
336,3.3680277014115463
339,3.669038595035773
340,4.182854308189874
342,3.4248710334920296
344,4.364854912731776
345,3.2568518074073842
346,3.321519926348901
349,3.984371923117674
353,4.322800920594682
355,3.6037192935347675
360,2.6230991163450983
363,3.1236416080743887
366,3.1229988952322145
367,2.9755534789151006
369,3.7453616838994845
371,4.6346129956193325
372,2.6285506273599752
374,2.084237974619859
375,2.559562938547247
378,2.950995574574573
379,1.6091430193151857
381,3.917309596748589
382,2.6059801536134373
384,2.975129123396299
385,2.539358348354169
387,3.6752226924343434
388,2.759531804168137
389,4.591623759255536
390,4.061099392330153
393,4.10844740416654
394,5.446030810094094
395,3.268946310424166
397,2.27323551874147
398,4.489157938745883
399,3.7536637417130434
403,3.355587998660713
404,2.2530484813724128
406,2.5170922636902087
407,2.73959878749962
410,1.613412975649164
411,3.2332796171551474
412,1.772517945080196
413,4.124570676014525
417,3.778196364677231
419,3.032417533701009
422,4.362624241286778
425,2.811144860591738
426,3.9897519097921608
427,4.9662009635154
432,2.9123385418211885
434,3.38397977803685
437,2.786648503262997
438,2.5339259879928298
440,5.058725208864756
441,4.325793463667288
443,1.7595466955270436
445,4.21125051480273
447,2.9098053857331156
449,2.975163886186891
450,3.6972579535676457
451,3.1095441072825616
453,4.115448964057365
455,2.0534754817650316
456,4.162343814654452
459,3.936119083686191
461,2.8630105107607813
463,3.540456103932592
466,4.01689957147831
467,2.847566061923865
469,3.131879574419455
470,3.4892405175443506
472,3.574276280293744
477,3.657689348957409
481,2.1253933214148404
485,4.0213855354187755
492,3.4913374610518306
494,3.2864808414314997
497,3.315189311681637
503,2.843748165970336
504,3.9808646580770004
507,4.388389176925236
509,2.817040491230893
511,4.860593810512713
512,3.2022020604108583
513,2.7620358132367335
516,5.363719859172468
517,2.080140199045458
518,3.1875943363947585
522,3.9654411703341643
525,2.6170638068271517
526,2.718103199589454
527,5.458172751348783
529,2.6800675317330906
534,5.081590196072689
538,1.8983222026527182
540,4.56293782853433
541,1.6205492998836903
542,4.762153013471485
543,7.253452371031485
544,4.890474893700371
546,2.640545968376113
547,2.49737230159261
550,2.643424831457155
554,3.906304367772509
556,2.269969920401834
558,3.1420059094119686
559,2.6211961224355544
560,4.293620273104261
564,3.6829113220968517
565,2.181505723300324
566,4.004465444629984
567,4.858450701534701
568,3.133181154449956
570,2.5716113159652383
